candidate,single_side_cost_bps,rebalance_date,sub_strategy,preset,allocation,sub_nav,nav_weight,holding_count,holdings_json,holdings_sha256
A,10,2021-06-30,quality,fcf_roe_value,0.5,499500.49950049975,0.50000000000000022,18,"[""ALSN"", ""CSX"", ""DKS"", ""ELV"", ""FAF"", ""FNF"", ""GM"", ""IBM"", ""LOPE"", ""MOH"", ""MUSA"", ""OMC"", ""PAG"", ""PHM"", ""URI"", ""V"", ""VZ"", ""WSM""]",5f5dae480556e441bff02fddaa3d55290433e4468d944f8722b856db90614e7f
A,10,2021-12-31,growth,growth_value,0.5,552532.94636701664,0.49996546589041502,30,"[""ACGL"", ""ACI"", ""BJ"", ""CMS"", ""COKE"", ""DTE"", ""EBAY"", ""EVR"", ""EXP"", ""FDX"", ""GL"", ""HOLX"", ""HPE"", ""HRB"", ""KEY"", ""LAD"", ""LAZ"", ""LITE"", ""LPX"", ""MOH"", ""PB"", ""PGR"", ""PRI"", ""REGN"", ""SFM"", ""SGI"", ""TOL"", ""VIRT"", ""WSM"", ""WY""]",e44778280d86cffc029d01fde63df89fdb8ecb91a754cd39b02025546e841477
A,10,2021-12-31,quality,fcf_roe_value,0.5,552609.27657228475,0.50003453410958509,13,"[""ALSN"", ""DKS"", ""FAF"", ""FNF"", ""IBM"", ""LOPE"", ""MOH"", ""MUSA"", ""OMC"", ""PAG"", ""SFM"", ""V"", ""VZ""]",27d76aa6d80f53ea2ec744bd1ad5e573bdd1b7c15970e1862c9c2ca16695180c
A,10,2022-06-30,growth,growth_value,0.5,488280.0334799969,0.49988260724940914,30,"[""ABBV"", ""ALLY"", ""AN"", ""AXP"", ""BLDR"", ""BYD"", ""CF"", ""CLF"", ""CNH"", ""COF"", ""COP"", ""ETSY"", ""FCX"", ""HOG"", ""HRB"", ""LPX"", ""M"", ""MRNA"", ""NLY"", ""NRG"", ""NUE"", ""OLN"", ""PFE"", ""PRU"", ""REGN"", ""RITM"", ""SYF"", ""WEC"", ""WMB"", ""WY""]",1785604d17a259021d30d33fc05ff6987f2b7d070db5f672263ec5eb7c77c9b8
A,10,2022-06-30,quality,fcf_roe_value,0.5,488509.36946951749,0.50011739275059097,28,"[""ACI"", ""ALSN"", ""BLDR"", ""CE"", ""CROX"", ""DKS"", ""DVA"", ""FAF"", ""FNF"", ""GM"", ""HUN"", ""LAD"", ""LOPE"", ""MOH"", ""MUSA"", ""NRG"", ""NVR"", ""PAG"", ""PFE"", ""REGN"", ""RH"", ""SAIC"", ""SFM"", ""SGI"", ""THC"", ""V"", ""WHR"", ""WSM""]",28fe25b9159f54b64798c18aaa240b278271dd260b28f572c7a7e3c5ff95700a
A,10,2022-12-30,growth,growth_value,0.5,564094.69660547143,0.50007736445731044,30,"[""ABBV"", ""ALLY"", ""AN"", ""AXP"", ""BLDR"", ""BX"", ""BYD"", ""CF"", ""CLF"", ""COP"", ""DBX"", ""DOW"", ""FCX"", ""GS"", ""LPX"", ""M"", ""MKSI"", ""MRNA"", ""NLY"", ""NUE"", ""OLN"", ""OMF"", ""ON"", ""PVH"", ""RITM"", ""ST"", ""SYF"", ""V"", ""WEC"", ""WY""]",f0a30e3dbeaf223dc9980f4adbb658ef6b1460769917e7697206b820df1d627f
A,10,2022-12-30,quality,fcf_roe_value,0.5,563920.16009101854,0.49992263554268956,18,"[""ACI"", ""ALSN"", ""BLDR"", ""CE"", ""DVA"", ""EXPD"", ""FAF"", ""FNF"", ""GM"", ""HOLX"", ""HUM"", ""HUN"", ""INTC"", ""MUSA"", ""NVR"", ""PAG"", ""V"", ""WSM""]",c8bbad0b82b8659a78443b59af8c239522fc71d2c99164d0dc9fcd2314f93a35
A,10,2023-06-30,growth,growth_value,0.5,657690.94801197329,0.49978272700168802,30,"[""AAL"", ""AEE"", ""AMG"", ""AMGN"", ""AMP"", ""BJ"", ""BKNG"", ""BLDR"", ""CF"", ""CSL"", ""DAL"", ""DINO"", ""DOW"", ""EQH"", ""GPK"", ""HBAN"", ""LAZ"", ""LNG"", ""MOS"", ""MUSA"", ""NI"", ""PFE"", ""PFG"", ""PK"", ""SYY"", ""UAL"", ""V"", ""VLO"", ""WMB"", ""WTM""]",b3bea977e3bbe5c051459a3bce13741ca95f5dcaebda19cba20eed938d44aade
A,10,2023-06-30,quality,fcf_roe_value,0.5,658262.79044076009,0.50021727299831187,15,"[""ALSN"", ""BLDR"", ""CHRW"", ""CROX"", ""DVA"", ""ELV"", ""EXPD"", ""GM"", ""HOLX"", ""HUM"", ""LEN"", ""NVR"", ""V"", ""WSM"", ""WU""]",4ca7065e990d0fda3faf49a188621d415dca6616749354e5586fc41679e68e86
A,10,2023-12-29,growth,growth_value,0.5,702244.19905089657,0.49998225134036439,30,"[""AAL"", ""ALSN"", ""AMG"", ""AMP"", ""BKNG"", ""CF"", ""CNM"", ""CSL"", ""CTRA"", ""DAL"", ""DINO"", ""DOW"", ""EEFT"", ""EPR"", ""EQH"", ""EXPE"", ""GPK"", ""HBAN"", ""KNSL"", ""MCHP"", ""MOH"", ""MOS"", ""MUSA"", ""PFE"", ""PFG"", ""RITM"", ""SNX"", ""SON"", ""SSB"", ""UAL""]",e3124346bd9843c558800226ba5a43c9b4eae19de16c626a1c84e77bb44c7abe
